CODIGO,ALTERNO,NOMBRE,INVENTARIO
4034656520625,ONU2PB,ONU2PB - 1SCA022532R7400,13
4034656521615,OMSO52PB,OMSO52PB - 1SCA022533R3980,2
4034656522469,1SCA022404R4740,EL-MCV-4,2
5027590252294,170M1568,fusible ultra rapido bussman,12
50783786693851,AL750NTN,ZAPATA PONCHABLE  HOMAC CU/AL CAL 750 MCM 2 OJILLOS CAT.AL75,82
5350035416679,RGS1A23A25KKE,RELEVADOR DE ESTADO SOLIDO 25A,12
5410779172207,2GCA291722A0050,CONTROLADOR RVT2-12 EP PARA BANCO DE CAPACITORES,14
5414363110859,7TAH007510R0016,COPLE PONCHABLE CAL.500KCM,54
6221115048396,1SKA148000C1001,Protecta kit mini-interruptor,118
6221115487249,1SKA141568C3001,Protecta Kit XT1,7
6417019019987,OT160E3,OT160E3,11
6417019123424,OTS125T3,"CubreBornes transparente para OTM-Mini, 3 polos, hasta 125A",5
6417019124117,OHB65J6,Manija Pistol 65mm ON-OFF negra/roja para OT40...125F,2
6417019124230,OHB95J12,Manija Pistol 95mm negra/roja,5
6417019124872,OHB65J6E011,Manija Pistol 65mm 1-0-2 negra/roja para OT16...125F3C,1
6417019131221,OTP63BA3M,"63 Amps, Seccionador en Gabinete Plástico OTP, IP65",76
6417019148847,OHG45H9K,Manija Gris,1
6417019148854,OHG65H9K,Manija Gris,1
6417019160702,OS60J12,SECCIONADOR FUSIBLE,14
6417019183220,OTR45B3M,"Seccionador en Gabinete Acero Inoxidable. 45A, max 500V",1
6417019205786,OFAF1H100,"Fusible 100A Tamaño Din 1 Tipo gG/500V, 120kA",2
6417019206004,OFAF2H300,"Fusible 300A Tamaño Din 2 Tipo gG/500V, 120kA",6
6417019206011,OFAF2H315,"Fusible 315A Tamaño Din 2 Tipo gG/500V, 120kA",10
6417019206127,OFAF3H355,"Fusible 355A Tamaño Din 3 Tipo gG/500V, 120kA",2
6417019206165,OFAF3H500,"Fusible 500A Tamaño Din 3 Tipo gG/500V, 120kA",1
6417019213231,OFAA000GG40,"Fusible 40A Tamaño Din 000* Tipo gG/690V, 120kA",2
6417019223773,OFAA00GG80,"Fusible 80A Tamaño Din 00* Tipo gG/690V, 120kA",88
6417019225920,OT200U03P,OT200U03P - 1SCA022709R9920,1
6417019282558,1SCA022824R0230,EOT100U3M3-P ENCLOSED DISCONNECT SWITCH,5
